id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;code_main_protein;group_level_1
13747;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2019-04-18;essen ii/iii/iv(topsell);Lager Küche Ring;172,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13882;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2019-06-27;essen ii/iii/iv(topsell);Lager Küche Ring;138,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14056;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2019-10-18;essen ii/iii/iv(topsell);Lager Küche Ring;237,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14272;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-02-07;essen iv/tagesangebot(ct);Lager Küche Ring;181,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14345;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-03-13;essen ii/iii/iv(topsell);Lager Küche Ring;87,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14355;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-03-19;essen iv/tagesangebot(ct);Lager Küche Ring;0,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
14497;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-08-20;essen iv/tagesangebot(ct);Lager Küche Ring;53,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
14523;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-09-11;essen ii/iii/iv(topsell);Lager Küche Ring;80,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14552;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-10-01;z-campusteller;Lager Küche Ring;78,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
14615;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2020-10-30;z-schneller teller;Lager Küche Ring;126,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
